sentence1,sentence2,sentence2_masked,label,subjects,objects,ids,people,places
"Maurice didn't visit Westfield, Curtis has visited Johnnie",Calvin has visited Derrick or Maurice didn't visit Westfield,Calvin has visited Derrick [MASK] Maurice didn't visit Westfield,or,"Maurice, Curtis, Calvin","Westfield, Johnnie, Derrick",0,"Maurice, Curtis, Johnnie, Calvin",Westfield
"Joshua didn't visit Felix, Rene has visited Conway",Joshua didn't visit Felix and Rene has visited Conway,Joshua didn't visit Felix [MASK] Rene has visited Conway,and,"Joshua, Rene","Felix, Conway","0, 1","Joshua, Rene, Felix",Conway
"Walter has visited Ypsilanti, Phillip didn't visit Ossining",Walter has visited Ypsilanti or Timothy has visited Casper,Walter has visited Ypsilanti [MASK] Timothy has visited Casper,or,"Walter, Phillip, Timothy","Ypsilanti, Ossining, Casper",0,"Walter, Phillip, Timothy","Ossining, Ypsilanti, Casper"
"Ray has visited Steve, Kelly has visited Oscar",Kelly has visited Oscar or Jay has visited Jesse,Kelly has visited Oscar [MASK] Jay has visited Jesse,or,"Ray, Kelly, Jay","Steve, Oscar, Jesse",1,"Ray, Kelly, Oscar, Steve, Jay",
"Stanley has visited Shane, Cecil didn't visit William",Maurice didn't visit Luis or Stanley has visited Shane,Maurice didn't visit Luis [MASK] Stanley has visited Shane,or,"Stanley, Cecil, Maurice","Shane, William, Luis",0,"Stanley, Cecil, Shane, William, Maurice",
"Aaron didn't visit Manhattan, Albert has visited Alfred",Arnold didn't visit Andersonville or Albert has visited Alfred,Arnold didn't visit Andersonville [MASK] Albert has visited Alfred,or,"Aaron, Albert, Arnold","Manhattan, Alfred, Andersonville",1,"Aaron, Albert, Alfred, Arnold","Andersonville, Manhattan"
"Jeremy has visited Barry, Cecil has visited Greenville",David didn't visit Jose or Cecil has visited Greenville,David didn't visit Jose [MASK] Cecil has visited Greenville,or,"Jeremy, Cecil, David","Barry, Greenville, Jose",1,"Jeremy, Cecil, Barry, David",Greenville
"Wesley didn't visit Americus, Leroy didn't visit Bend",Leroy didn't visit Bend and Wesley didn't visit Americus,Leroy didn't visit Bend [MASK] Wesley didn't visit Americus,and,"Wesley, Leroy","Americus, Bend","0, 1","Wesley, Leroy","Americus, Bend"
"Wade has visited Laie, Jay didn't visit Daryl",Wade has visited Laie and Jay didn't visit Daryl,Wade has visited Laie [MASK] Jay didn't visit Daryl,and,"Wade, Jay","Laie, Daryl","0, 1","Wade, Jay, Daryl",Laie
"Barry didn't visit Norton, Jeffrey didn't visit Fred",Barry didn't visit Norton and Jeffrey didn't visit Fred,Barry didn't visit Norton [MASK] Jeffrey didn't visit Fred,and,"Barry, Jeffrey","Norton, Fred","0, 1","Barry, Jeffrey, Fred",Norton
"Pedro has visited Harold, Jordan didn't visit Seth",Pedro has visited Harold or Ray has visited Rancho Cucamonga,Pedro has visited Harold [MASK] Ray has visited Rancho Cucamonga,or,"Pedro, Jordan, Ray","Harold, Seth, Rancho Cucamonga",0,"Pedro, Jordan, Seth, Harold, Ray",Rancho Cucamonga
"Nathaniel has visited Collinsville, Angel has visited Duane",Nathaniel has visited Collinsville and Angel has visited Duane,Nathaniel has visited Collinsville [MASK] Angel has visited Duane,and,"Nathaniel, Angel","Collinsville, Duane","0, 1","Nathaniel, Angel, Duane",Collinsville
"Eddie didn't visit Euclid, Victor has visited Tyrone",Victor has visited Tyrone and Eddie didn't visit Euclid,Victor has visited Tyrone [MASK] Eddie didn't visit Euclid,and,"Eddie, Victor","Euclid, Tyrone","0, 1","Eddie, Victor, Tyrone",Euclid
"Andy didn't visit Corey, Marvin has visited Florence",Marvin has visited Florence and Andy didn't visit Corey,Marvin has visited Florence [MASK] Andy didn't visit Corey,and,"Andy, Marvin","Corey, Florence","0, 1","Andy, Marvin, Corey",Florence
"Freddie didn't visit Park City, Andrew has visited Peter",Manuel didn't visit Bernard or Freddie didn't visit Park City,Manuel didn't visit Bernard [MASK] Freddie didn't visit Park City,or,"Freddie, Andrew, Manuel","Park City, Peter, Bernard",0,"Freddie, Andrew, Peter, Manuel",Park City
"George has visited Fort Walton Beach, Francisco has visited Bradley",George has visited Fort Walton Beach and Francisco has visited Bradley,George has visited Fort Walton Beach [MASK] Francisco has visited Bradley,and,"George, Francisco","Fort Walton Beach, Bradley","0, 1","George, Francisco, Bradley",Fort Walton Beach
"Jeffery has visited Anthony, Lewis has visited Melbourne",Lewis has visited Melbourne or Edward has visited Reginald,Lewis has visited Melbourne [MASK] Edward has visited Reginald,or,"Jeffery, Lewis, Edward","Anthony, Melbourne, Reginald",1,"Jeffery, Lewis, Anthony, Edward",Melbourne
"Alan has visited Andy, Herman didn't visit Hershey",Alan has visited Andy and Herman didn't visit Hershey,Alan has visited Andy [MASK] Herman didn't visit Hershey,and,"Alan, Herman","Andy, Hershey","0, 1","Alan, Herman, Andy",Hershey
"Jaime didn't visit Christian, Alfredo has visited Harry",Alfredo has visited Harry and Jaime didn't visit Christian,Alfredo has visited Harry [MASK] Jaime didn't visit Christian,and,"Jaime, Alfredo","Christian, Harry","0, 1","Jaime, Alfredo, Harry, Christian",
"Kevin didn't visit Ian, Cody has visited Malden",Cody has visited Malden and Kevin didn't visit Ian,Cody has visited Malden [MASK] Kevin didn't visit Ian,and,"Kevin, Cody","Ian, Malden","0, 1","Kevin, Cody, Ian",Malden
"Alvin didn't visit Garland, Jeffery didn't visit Ryan",Alan has visited Eric or Jeffery didn't visit Ryan,Alan has visited Eric [MASK] Jeffery didn't visit Ryan,or,"Alvin, Jeffery, Alan","Garland, Ryan, Eric",1,"Alvin, Jeffery, Ryan, Alan",Garland
"Harry didn't visit Las Cruces, Jimmie didn't visit Laredo",Harry didn't visit Las Cruces and Jimmie didn't visit Laredo,Harry didn't visit Las Cruces [MASK] Jimmie didn't visit Laredo,and,"Harry, Jimmie","Las Cruces, Laredo","0, 1","Harry, Jimmie","Las Cruces, Laredo"
"Lance didn't visit Ralph, James has visited Kellogg",James has visited Kellogg or Rafael didn't visit Leadville,James has visited Kellogg [MASK] Rafael didn't visit Leadville,or,"Lance, James, Rafael","Ralph, Kellogg, Leadville",1,"Lance, James, Ralph, Rafael","Kellogg, Leadville"
"Nathan has visited Exeter, Armando has visited Christian",Armando has visited Christian and Nathan has visited Exeter,Armando has visited Christian [MASK] Nathan has visited Exeter,and,"Nathan, Armando","Exeter, Christian","0, 1","Nathan, Armando, Christian",Exeter
"Rodney didn't visit Clifton, Miguel has visited Nappanee",Willard didn't visit Clyde or Rodney didn't visit Clifton,Willard didn't visit Clyde [MASK] Rodney didn't visit Clifton,or,"Rodney, Miguel, Willard","Clifton, Nappanee, Clyde",0,"Rodney, Miguel, Clifton, Willard",Nappanee
"Tommy didn't visit Lester, Norman has visited Smyrna",Terrance has visited Darryl or Tommy didn't visit Lester,Terrance has visited Darryl [MASK] Tommy didn't visit Lester,or,"Tommy, Norman, Terrance","Lester, Smyrna, Darryl",0,"Tommy, Norman, Lester, Terrance",Smyrna
"Keith has visited Ben, Aaron has visited Owensboro",Keith has visited Ben and Aaron has visited Owensboro,Keith has visited Ben [MASK] Aaron has visited Owensboro,and,"Keith, Aaron","Ben, Owensboro","0, 1","Keith, Aaron, Ben",Owensboro
"Mathew didn't visit Petersburg, Stanley has visited Brandon",Dustin has visited Cory or Stanley has visited Brandon,Dustin has visited Cory [MASK] Stanley has visited Brandon,or,"Mathew, Stanley, Dustin","Petersburg, Brandon, Cory",1,"Mathew, Stanley, Brandon, Dustin",Petersburg
"Ryan didn't visit Ronald, Arthur has visited Mathew",Randall didn't visit Micheal or Ryan didn't visit Ronald,Randall didn't visit Micheal [MASK] Ryan didn't visit Ronald,or,"Ryan, Arthur, Randall","Ronald, Mathew, Micheal",0,"Ryan, Arthur, Ronald, Mathew, Randall",
"Francis has visited Dean, Cecil has visited Pampa",Cecil has visited Pampa and Francis has visited Dean,Cecil has visited Pampa [MASK] Francis has visited Dean,and,"Francis, Cecil","Dean, Pampa","0, 1","Francis, Cecil, Dean",Pampa
"Jeffery didn't visit Steamboat Springs, Floyd didn't visit Christian",Oscar didn't visit Greenville or Floyd didn't visit Christian,Oscar didn't visit Greenville [MASK] Floyd didn't visit Christian,or,"Jeffery, Floyd, Oscar","Steamboat Springs, Christian, Greenville",1,"Jeffery, Floyd, Christian, Oscar","Steamboat Springs, Greenville"
"Alfredo has visited Lewis, William has visited Long Beach",Randall didn't visit Cody or William has visited Long Beach,Randall didn't visit Cody [MASK] William has visited Long Beach,or,"Alfredo, William, Randall","Lewis, Long Beach, Cody",1,"Alfredo, William, Lewis, Randall",Long Beach
"Eddie didn't visit Calexico, Calvin didn't visit Melvin",Calvin didn't visit Melvin and Eddie didn't visit Calexico,Calvin didn't visit Melvin [MASK] Eddie didn't visit Calexico,and,"Eddie, Calvin","Calexico, Melvin","0, 1","Eddie, Calvin, Melvin",Calexico
"Lance has visited Stratford, Henry has visited Pine Bluff",Dustin didn't visit Barrington or Lance has visited Stratford,Dustin didn't visit Barrington [MASK] Lance has visited Stratford,or,"Lance, Henry, Dustin","Stratford, Pine Bluff, Barrington",0,"Lance, Henry, Dustin","Barrington, Pine Bluff, Stratford"
"Karl has visited New Milford, Miguel didn't visit New Paltz",Miguel didn't visit New Paltz and Karl has visited New Milford,Miguel didn't visit New Paltz [MASK] Karl has visited New Milford,and,"Karl, Miguel","New Milford, New Paltz","0, 1","Karl, Miguel","New Milford, New Paltz"
"Gabriel has visited Carthage, Oscar didn't visit Seth",Dwight has visited Matthew or Oscar didn't visit Seth,Dwight has visited Matthew [MASK] Oscar didn't visit Seth,or,"Gabriel, Oscar, Dwight","Carthage, Seth, Matthew",1,"Gabriel, Oscar, Seth, Dwight",Carthage
"Rodney has visited Sauk Centre, Cecil didn't visit Curtis",Rodney has visited Sauk Centre and Cecil didn't visit Curtis,Rodney has visited Sauk Centre [MASK] Cecil didn't visit Curtis,and,"Rodney, Cecil","Sauk Centre, Curtis","0, 1","Rodney, Cecil, Curtis",Sauk Centre
"Wade has visited Montgomery, Carl has visited Gene",Carl has visited Gene or Tracy didn't visit Zanesville,Carl has visited Gene [MASK] Tracy didn't visit Zanesville,or,"Wade, Carl, Tracy","Montgomery, Gene, Zanesville",1,"Wade, Carl, Gene, Tracy","Montgomery, Zanesville"
"Clayton has visited Gardiner, Duane has visited Mark",Greg has visited Tom or Duane has visited Mark,Greg has visited Tom [MASK] Duane has visited Mark,or,"Clayton, Duane, Greg","Gardiner, Mark, Tom",1,"Clayton, Duane, Mark, Greg",Gardiner
"Ryan didn't visit Lee, Bob didn't visit Santa Cruz",Joel didn't visit Wheaton or Bob didn't visit Santa Cruz,Joel didn't visit Wheaton [MASK] Bob didn't visit Santa Cruz,or,"Ryan, Bob, Joel","Lee, Santa Cruz, Wheaton",1,"Ryan, Bob, Lee, Joel","Wheaton, Santa Cruz"
"Dwayne has visited Alfred, Adam has visited Wilmington",Jeffery didn't visit William or Dwayne has visited Alfred,Jeffery didn't visit William [MASK] Dwayne has visited Alfred,or,"Dwayne, Adam, Jeffery","Alfred, Wilmington, William",0,"Dwayne, Adam, Alfred, Jeffery",Wilmington
"Daryl has visited Stephen, Mario didn't visit Seaside",Daryl has visited Stephen and Mario didn't visit Seaside,Daryl has visited Stephen [MASK] Mario didn't visit Seaside,and,"Daryl, Mario","Stephen, Seaside","0, 1","Daryl, Mario, Stephen",Seaside
"Wayne didn't visit Roberto, Theodore didn't visit Thomas",Wayne didn't visit Roberto and Theodore didn't visit Thomas,Wayne didn't visit Roberto [MASK] Theodore didn't visit Thomas,and,"Wayne, Theodore","Roberto, Thomas","0, 1","Wayne, Theodore, Roberto, Thomas",
"Clinton didn't visit Alberto, Frederick has visited Idaho Falls",Frederick has visited Idaho Falls and Clinton didn't visit Alberto,Frederick has visited Idaho Falls [MASK] Clinton didn't visit Alberto,and,"Clinton, Frederick","Alberto, Idaho Falls","0, 1","Clinton, Frederick, Alberto",Idaho Falls
"Luis has visited Terrance, Dennis didn't visit Billy",Luis has visited Terrance and Dennis didn't visit Billy,Luis has visited Terrance [MASK] Dennis didn't visit Billy,and,"Luis, Dennis","Terrance, Billy","0, 1","Luis, Dennis, Terrance, Billy",
"William didn't visit Melvin, Micheal didn't visit Portsmouth",Micheal didn't visit Portsmouth and William didn't visit Melvin,Micheal didn't visit Portsmouth [MASK] William didn't visit Melvin,and,"William, Micheal","Melvin, Portsmouth","0, 1","William, Micheal, Melvin",Portsmouth
"Timothy has visited Wilmington, Ruben has visited Sitka",Ruben has visited Sitka or Hector has visited Dwight,Ruben has visited Sitka [MASK] Hector has visited Dwight,or,"Timothy, Ruben, Hector","Wilmington, Sitka, Dwight",1,"Timothy, Ruben, Hector","Sitka, Wilmington"
"Matthew didn't visit Raymond, Claude has visited Westerly",Christopher has visited Sault Sainte Marie or Matthew didn't visit Raymond,Christopher has visited Sault Sainte Marie [MASK] Matthew didn't visit Raymond,or,"Matthew, Claude, Christopher","Raymond, Westerly, Sault Sainte Marie",0,"Matthew, Claude, Raymond, Christopher","Sault Sainte Marie, Westerly"
"Darrell has visited Dave, Derrick has visited Ronnie",Gene has visited Nome or Darrell has visited Dave,Gene has visited Nome [MASK] Darrell has visited Dave,or,"Darrell, Derrick, Gene","Dave, Ronnie, Nome",0,"Darrell, Derrick, Ronnie, Dave, Gene",Nome
"Lonnie didn't visit Marcus, Jay didn't visit Arthur",Lonnie didn't visit Marcus or Casey didn't visit Stuttgart,Lonnie didn't visit Marcus [MASK] Casey didn't visit Stuttgart,or,"Lonnie, Jay, Casey","Marcus, Arthur, Stuttgart",0,"Lonnie, Jay, Arthur, Marcus, Casey",Stuttgart
"Chester didn't visit Ontario, Brandon didn't visit Ted",Ronald didn't visit Richard or Chester didn't visit Ontario,Ronald didn't visit Richard [MASK] Chester didn't visit Ontario,or,"Chester, Brandon, Ronald","Ontario, Ted, Richard",0,"Chester, Brandon, Ted, Ronald",Ontario
"Juan has visited Antonio, David has visited East Chicago",David has visited East Chicago or Jason didn't visit New Britain,David has visited East Chicago [MASK] Jason didn't visit New Britain,or,"Juan, David, Jason","Antonio, East Chicago, New Britain",1,"Juan, David, Antonio, Jason","New Britain, East Chicago"
"Carlos has visited Burlington, Dwayne didn't visit Cortland",Kent has visited Salt Lake City or Dwayne didn't visit Cortland,Kent has visited Salt Lake City [MASK] Dwayne didn't visit Cortland,or,"Carlos, Dwayne, Kent","Burlington, Cortland, Salt Lake City",1,"Carlos, Dwayne, Kent","Burlington, Salt Lake City, Cortland"
"Brad didn't visit Alliance, Nathan has visited Dustin",Brad didn't visit Alliance and Nathan has visited Dustin,Brad didn't visit Alliance [MASK] Nathan has visited Dustin,and,"Brad, Nathan","Alliance, Dustin","0, 1","Brad, Nathan, Dustin",Alliance
"Allan has visited Hammondsport, Miguel has visited Wallace",Allan has visited Hammondsport or Cody didn't visit Gabriel,Allan has visited Hammondsport [MASK] Cody didn't visit Gabriel,or,"Allan, Miguel, Cody","Hammondsport, Wallace, Gabriel",0,"Allan, Miguel, Wallace, Cody",Hammondsport
"Willie has visited Sturbridge, Raymond has visited Bethlehem",Willie has visited Sturbridge and Raymond has visited Bethlehem,Willie has visited Sturbridge [MASK] Raymond has visited Bethlehem,and,"Willie, Raymond","Sturbridge, Bethlehem","0, 1","Willie, Raymond","Bethlehem, Sturbridge"
"Joel has visited Logan, Jon didn't visit Chad",Joel has visited Logan or Brandon has visited Helena,Joel has visited Logan [MASK] Brandon has visited Helena,or,"Joel, Jon, Brandon","Logan, Chad, Helena",0,"Joel, Jon, Chad, Brandon","Helena, Logan"
"Jessie has visited Nathaniel, Carl has visited Chautauqua",Jessie has visited Nathaniel and Carl has visited Chautauqua,Jessie has visited Nathaniel [MASK] Carl has visited Chautauqua,and,"Jessie, Carl","Nathaniel, Chautauqua","0, 1","Jessie, Carl, Nathaniel",Chautauqua
"Ryan has visited Ralph, Rodney has visited Rantoul",Ryan has visited Ralph and Rodney has visited Rantoul,Ryan has visited Ralph [MASK] Rodney has visited Rantoul,and,"Ryan, Rodney","Ralph, Rantoul","0, 1","Ryan, Rodney, Ralph",Rantoul
"Mark didn't visit Louis, Adam didn't visit Andy",Adam didn't visit Andy and Mark didn't visit Louis,Adam didn't visit Andy [MASK] Mark didn't visit Louis,and,"Mark, Adam","Louis, Andy","0, 1","Mark, Adam, Louis, Andy",
"Phillip has visited Hanover, Dennis has visited Bruce",Dennis has visited Bruce and Phillip has visited Hanover,Dennis has visited Bruce [MASK] Phillip has visited Hanover,and,"Phillip, Dennis","Hanover, Bruce","0, 1","Phillip, Dennis, Bruce",Hanover
"Louis didn't visit Anthony, Walter didn't visit Chickasha",Louis didn't visit Anthony or Rafael has visited Philip,Louis didn't visit Anthony [MASK] Rafael has visited Philip,or,"Louis, Walter, Rafael","Anthony, Chickasha, Philip",0,"Louis, Walter, Anthony, Rafael",Chickasha
"Carl has visited Pittsburg, Justin has visited Bartow",Justin has visited Bartow and Carl has visited Pittsburg,Justin has visited Bartow [MASK] Carl has visited Pittsburg,and,"Carl, Justin","Pittsburg, Bartow","0, 1","Carl, Justin","Pittsburg, Bartow"
"Claude has visited Herrin, Anthony has visited Derrick",Claude has visited Herrin and Anthony has visited Derrick,Claude has visited Herrin [MASK] Anthony has visited Derrick,and,"Claude, Anthony","Herrin, Derrick","0, 1","Claude, Anthony, Derrick",Herrin
"Corey has visited Weymouth, Arthur has visited Wade",Arthur has visited Wade and Corey has visited Weymouth,Arthur has visited Wade [MASK] Corey has visited Weymouth,and,"Corey, Arthur","Weymouth, Wade","0, 1","Corey, Arthur, Wade",Weymouth
"Shawn has visited Harry, Louis has visited Lee",Louis has visited Lee and Shawn has visited Harry,Louis has visited Lee [MASK] Shawn has visited Harry,and,"Shawn, Louis","Harry, Lee","0, 1","Shawn, Louis, Harry, Lee",
"Michael has visited Ricky, Everett didn't visit Dover",Everett didn't visit Dover and Michael has visited Ricky,Everett didn't visit Dover [MASK] Michael has visited Ricky,and,"Michael, Everett","Ricky, Dover","0, 1","Michael, Everett, Ricky",Dover
"Victor didn't visit Marvin, Ralph didn't visit Cleveland",Ralph didn't visit Cleveland or Samuel didn't visit Moscow,Ralph didn't visit Cleveland [MASK] Samuel didn't visit Moscow,or,"Victor, Ralph, Samuel","Marvin, Cleveland, Moscow",1,"Victor, Ralph, Marvin, Samuel","Cleveland, Moscow"
"Leroy has visited Adrian, Hector didn't visit Truro",Leroy has visited Adrian and Hector didn't visit Truro,Leroy has visited Adrian [MASK] Hector didn't visit Truro,and,"Leroy, Hector","Adrian, Truro","0, 1","Leroy, Hector","Adrian, Truro"
"Melvin didn't visit Princeton, Luis has visited Oscar",Luis has visited Oscar and Melvin didn't visit Princeton,Luis has visited Oscar [MASK] Melvin didn't visit Princeton,and,"Melvin, Luis","Princeton, Oscar","0, 1","Melvin, Luis, Oscar",Princeton
"Max has visited Justin, Earl has visited Salvador",Earl has visited Salvador and Max has visited Justin,Earl has visited Salvador [MASK] Max has visited Justin,and,"Max, Earl","Justin, Salvador","0, 1","Max, Earl, Salvador, Justin",
"Phillip has visited Todd, Lee has visited Chris",Jared has visited Athol or Phillip has visited Todd,Jared has visited Athol [MASK] Phillip has visited Todd,or,"Phillip, Lee, Jared","Todd, Chris, Athol",0,"Phillip, Lee, Chris, Todd, Jared",Athol
"Jason has visited Greenfield, Ben has visited Ivan",Ben has visited Ivan or Pedro didn't visit Douglas,Ben has visited Ivan [MASK] Pedro didn't visit Douglas,or,"Jason, Ben, Pedro","Greenfield, Ivan, Douglas",1,"Jason, Ben, Ivan, Pedro",Greenfield
"Ian didn't visit Menlo Park, Clifton has visited Armando",Clifton has visited Armando or Ben didn't visit Hanalei,Clifton has visited Armando [MASK] Ben didn't visit Hanalei,or,"Ian, Clifton, Ben","Menlo Park, Armando, Hanalei",1,"Ian, Clifton, Armando, Ben","Menlo Park, Hanalei"
"Leslie has visited Wallace, Jon has visited Rantoul",Jon has visited Rantoul and Leslie has visited Wallace,Jon has visited Rantoul [MASK] Leslie has visited Wallace,and,"Leslie, Jon","Wallace, Rantoul","0, 1","Leslie, Jon, Wallace",Rantoul
"Daniel has visited Petersburg, Tom didn't visit Tyrone",Tom didn't visit Tyrone and Daniel has visited Petersburg,Tom didn't visit Tyrone [MASK] Daniel has visited Petersburg,and,"Daniel, Tom","Petersburg, Tyrone","0, 1","Daniel, Tom, Tyrone",Petersburg
"Shawn didn't visit Litchfield, Lawrence has visited Justin",Shawn didn't visit Litchfield and Lawrence has visited Justin,Shawn didn't visit Litchfield [MASK] Lawrence has visited Justin,and,"Shawn, Lawrence","Litchfield, Justin","0, 1","Shawn, Lawrence, Justin",Litchfield
"Terrance has visited Lawrence, Mathew didn't visit Calvin",Nicholas has visited Oconto or Mathew didn't visit Calvin,Nicholas has visited Oconto [MASK] Mathew didn't visit Calvin,or,"Terrance, Mathew, Nicholas","Lawrence, Calvin, Oconto",1,"Terrance, Mathew, Calvin, Nicholas","Oconto, Lawrence"
"Matthew didn't visit Marvin, Marshall didn't visit Battle Creek",Ralph has visited Mountain View or Marshall didn't visit Battle Creek,Ralph has visited Mountain View [MASK] Marshall didn't visit Battle Creek,or,"Matthew, Marshall, Ralph","Marvin, Battle Creek, Mountain View",1,"Matthew, Marshall, Marvin, Ralph","Mountain View, Battle Creek"
"Steven didn't visit York, Willard has visited Troy",Willard has visited Troy and Steven didn't visit York,Willard has visited Troy [MASK] Steven didn't visit York,and,"Steven, Willard","York, Troy","0, 1","Steven, Willard, Troy",York
"Christian has visited Baltimore, Willard didn't visit Cranford",Willard didn't visit Cranford and Christian has visited Baltimore,Willard didn't visit Cranford [MASK] Christian has visited Baltimore,and,"Christian, Willard","Baltimore, Cranford","0, 1","Christian, Willard","Cranford, Baltimore"
"Randy didn't visit Wichita Falls, Robert has visited Grants",Randy didn't visit Wichita Falls and Robert has visited Grants,Randy didn't visit Wichita Falls [MASK] Robert has visited Grants,and,"Randy, Robert","Wichita Falls, Grants","0, 1","Randy, Robert","Grants, Wichita Falls"
"Roland has visited Lexington, Adam has visited Oregon",Louis has visited Port Hueneme or Adam has visited Oregon,Louis has visited Port Hueneme [MASK] Adam has visited Oregon,or,"Roland, Adam, Louis","Lexington, Oregon, Port Hueneme",1,"Roland, Adam, Louis","Oregon, Port Hueneme, Lexington"
"Mark has visited Tiffin, Raymond didn't visit Kurt",Raymond didn't visit Kurt and Mark has visited Tiffin,Raymond didn't visit Kurt [MASK] Mark has visited Tiffin,and,"Mark, Raymond","Tiffin, Kurt","0, 1","Mark, Raymond, Kurt",Tiffin
"Stephen didn't visit Baraboo, Donald has visited Jose",Richard didn't visit Perry or Stephen didn't visit Baraboo,Richard didn't visit Perry [MASK] Stephen didn't visit Baraboo,or,"Stephen, Donald, Richard","Baraboo, Jose, Perry",0,"Stephen, Donald, Jose, Richard",Baraboo
"Darren has visited Kurt, Derrick has visited Allan",Derrick has visited Allan and Darren has visited Kurt,Derrick has visited Allan [MASK] Darren has visited Kurt,and,"Darren, Derrick","Kurt, Allan","0, 1","Darren, Derrick, Kurt, Allan",
"Jorge has visited Fairfield, Karl didn't visit George",Jorge has visited Fairfield or Walter didn't visit Seth,Jorge has visited Fairfield [MASK] Walter didn't visit Seth,or,"Jorge, Karl, Walter","Fairfield, George, Seth",0,"Jorge, Karl, George, Walter",Fairfield
"Herman has visited Melvin, Raul didn't visit Dalton",Raul didn't visit Dalton or Jay has visited Hobart,Raul didn't visit Dalton [MASK] Jay has visited Hobart,or,"Herman, Raul, Jay","Melvin, Dalton, Hobart",1,"Herman, Raul, Melvin, Jay","Dalton, Hobart"
"Edgar didn't visit Wellesley, Timothy has visited Milwaukee",Edgar didn't visit Wellesley and Timothy has visited Milwaukee,Edgar didn't visit Wellesley [MASK] Timothy has visited Milwaukee,and,"Edgar, Timothy","Wellesley, Milwaukee","0, 1","Edgar, Timothy","Milwaukee, Wellesley"
"Chad has visited Conway, Harvey didn't visit Leslie",James didn't visit Armando or Harvey didn't visit Leslie,James didn't visit Armando [MASK] Harvey didn't visit Leslie,or,"Chad, Harvey, James","Conway, Leslie, Armando",1,"Chad, Harvey, Leslie, James",Conway
"Harvey has visited Tuscumbia, Ivan didn't visit Greenville",Jon didn't visit Everett or Harvey has visited Tuscumbia,Jon didn't visit Everett [MASK] Harvey has visited Tuscumbia,or,"Harvey, Ivan, Jon","Tuscumbia, Greenville, Everett",0,"Harvey, Ivan, Jon","Tuscumbia, Greenville"
"Joe didn't visit Florence, Hugh didn't visit Kevin",Leo has visited Brigham City or Joe didn't visit Florence,Leo has visited Brigham City [MASK] Joe didn't visit Florence,or,"Joe, Hugh, Leo","Florence, Kevin, Brigham City",0,"Joe, Hugh, Kevin, Leo","Brigham City, Florence"
"Lester didn't visit Everett, Nelson didn't visit Lebanon",Ralph didn't visit Joe or Lester didn't visit Everett,Ralph didn't visit Joe [MASK] Lester didn't visit Everett,or,"Lester, Nelson, Ralph","Everett, Lebanon, Joe",0,"Lester, Nelson, Everett, Ralph",Lebanon
"Scott didn't visit Miguel, Dean didn't visit Edward",Dean didn't visit Edward or Jared has visited Lloyd,Dean didn't visit Edward [MASK] Jared has visited Lloyd,or,"Scott, Dean, Jared","Miguel, Edward, Lloyd",1,"Scott, Dean, Miguel, Edward, Jared",
"Jeffrey didn't visit Mesquite, Seth didn't visit Andy",Clifton didn't visit Sapulpa or Seth didn't visit Andy,Clifton didn't visit Sapulpa [MASK] Seth didn't visit Andy,or,"Jeffrey, Seth, Clifton","Mesquite, Andy, Sapulpa",1,"Jeffrey, Seth, Andy, Clifton","Sapulpa, Mesquite"
"Johnnie has visited Pass Christian, Jorge has visited Park Forest",Sergio didn't visit Fairfield or Johnnie has visited Pass Christian,Sergio didn't visit Fairfield [MASK] Johnnie has visited Pass Christian,or,"Johnnie, Jorge, Sergio","Pass Christian, Park Forest, Fairfield",0,"Johnnie, Jorge, Sergio","Park Forest, Fairfield, Pass Christian"
"Gabriel has visited Port Lavaca, Duane has visited Mount Pleasant",Gabriel has visited Port Lavaca and Duane has visited Mount Pleasant,Gabriel has visited Port Lavaca [MASK] Duane has visited Mount Pleasant,and,"Gabriel, Duane","Port Lavaca, Mount Pleasant","0, 1","Gabriel, Duane","Mount Pleasant, Port Lavaca"
"Bradley didn't visit Scarborough, Neil didn't visit Ross",Bradley didn't visit Scarborough and Neil didn't visit Ross,Bradley didn't visit Scarborough [MASK] Neil didn't visit Ross,and,"Bradley, Neil","Scarborough, Ross","0, 1","Bradley, Neil, Ross",Scarborough
"Craig didn't visit Keith, Clyde didn't visit Ecorse",Ronnie didn't visit Hugh or Craig didn't visit Keith,Ronnie didn't visit Hugh [MASK] Craig didn't visit Keith,or,"Craig, Clyde, Ronnie","Keith, Ecorse, Hugh",0,"Craig, Clyde, Keith, Ronnie",Ecorse
"Stephen didn't visit Port Arthur, Leonard has visited Calvin",Stephen didn't visit Port Arthur or Darryl didn't visit Pedro,Stephen didn't visit Port Arthur [MASK] Darryl didn't visit Pedro,or,"Stephen, Leonard, Darryl","Port Arthur, Calvin, Pedro",0,"Stephen, Leonard, Calvin, Darryl",Port Arthur
"Francis didn't visit Travis, Leo has visited Jordan",Francis didn't visit Travis and Leo has visited Jordan,Francis didn't visit Travis [MASK] Leo has visited Jordan,and,"Francis, Leo","Travis, Jordan","0, 1","Francis, Leo, Travis, Jordan",
"Alan didn't visit Lonnie, Nathan has visited Leonard",Nathan has visited Leonard and Alan didn't visit Lonnie,Nathan has visited Leonard [MASK] Alan didn't visit Lonnie,and,"Alan, Nathan","Lonnie, Leonard","0, 1","Alan, Nathan, Lonnie, Leonard",
