sentence1,sentence2,sentence2_masked,label,subjects,objects,ids,people,places
"Samuel has visited Sidney, Sam didn't visit Irvine.",it's false that everyone has visited Irvine,it's false that [MASK] has visited Irvine,everyone,"Samuel, Sam","Sidney, Irvine",1,"Samuel, Sam, Sidney",Irvine
"Chris didn't visit Jasper, Jaime didn't visit Devils Lake.",someone didn't visit Jasper,[MASK] didn't visit Jasper,someone,"Chris, Jaime","Jasper, Devils Lake",0,"Chris, Jaime","Jasper, Devils Lake"
"everyone didn't visit Sam, Donald didn't visit San Luis Obispo.",it's false that everyone has visited San Luis Obispo,it's false that [MASK] has visited San Luis Obispo,everyone,Donald,"Sam, San Luis Obispo",1,"Donald, Sam",San Luis Obispo
"Lester didn't visit Steve, Christia didn't visit Kingsport.",it's false that everyone has visited Kingsport,it's false that [MASK] has visited Kingsport,everyone,"Lester, Christia","Steve, Kingsport",1,"Lester, Christia, Steve",Kingsport
"Brian didn't visit Lakeland, Dwayne has visited Everett.",it's false that everyone has visited Lakeland,it's false that [MASK] has visited Lakeland,everyone,"Brian, Dwayne","Lakeland, Everett",0,"Brian, Dwayne, Everett",Lakeland
"everyone didn't visit Saint George, Scott didn't visit Nicholas.",it's false that everyone has visited Nicholas,it's false that [MASK] has visited Nicholas,everyone,Scott,"Saint George, Nicholas",1,"Scott, Nicholas",Saint George
"everyone has visited San Jose, someone didn't visit Gerald.",it's false that someone didn't visit San Jose,it's false that [MASK] didn't visit San Jose,someone,,"San Jose, Gerald",0,Gerald,San Jose
"Dan didn't visit Lubec, everyone has visited Derrick.",it's false that someone didn't visit Derrick,it's false that [MASK] didn't visit Derrick,someone,Dan,"Lubec, Derrick",1,"Dan, Derrick",Lubec
"Jerry has visited Adam, Darrell has visited Andrew.",someone has visited Andrew,[MASK] has visited Andrew,someone,"Jerry, Darrell","Adam, Andrew",1,"Jerry, Darrell, Andrew, Adam",
"everyone has visited Martin, everyone has visited Warwick.",it's false that someone didn't visit Martin,it's false that [MASK] didn't visit Martin,someone,,"Martin, Warwick",0,Martin,Warwick
"someone has visited Pittsburg, William didn't visit Jerry.",it's false that everyone has visited Jerry,it's false that [MASK] has visited Jerry,everyone,William,"Pittsburg, Jerry",1,"William, Jerry",Pittsburg
"someone has visited Roland, Paul has visited Batesville.",someone has visited Batesville,[MASK] has visited Batesville,someone,Paul,"Roland, Batesville",1,"Paul, Roland",Batesville
"everyone has visited Carl, everyone didn't visit Englewood.",it's false that someone didn't visit Carl,it's false that [MASK] didn't visit Carl,someone,,"Carl, Englewood",0,Carl,Englewood
"Everett didn't visit Lancaster, Herbert didn't visit Calvin.",it's false that everyone has visited Lancaster,it's false that [MASK] has visited Lancaster,everyone,"Everett, Herbert","Lancaster, Calvin",0,"Everett, Herbert, Calvin",Lancaster
"everyone didn't visit Corydon, everyone has visited Portland.",it's false that someone didn't visit Portland,it's false that [MASK] didn't visit Portland,someone,,"Corydon, Portland",1,,"Corydon, Portland"
"Leslie didn't visit Caribou, everyone didn't visit Leon.",it's false that everyone has visited Caribou,it's false that [MASK] has visited Caribou,everyone,Leslie,"Caribou, Leon",0,"Leslie, Leon",Caribou
"Willard didn't visit Jordan, Scott didn't visit Angel.",it's false that everyone has visited Jordan,it's false that [MASK] has visited Jordan,everyone,"Willard, Scott","Jordan, Angel",0,"Willard, Scott, Jordan, Angel",
"Marcus didn't visit Aaron, Ryan has visited Ben.",it's false that everyone has visited Aaron,it's false that [MASK] has visited Aaron,everyone,"Marcus, Ryan","Aaron, Ben",0,"Marcus, Ryan, Ben, Aaron",
"Christian didn't visit Franklin, everyone has visited Mount Clemens.",it's false that someone didn't visit Mount Clemens,it's false that [MASK] didn't visit Mount Clemens,someone,Christian,"Franklin, Mount Clemens",1,"Christian, Franklin",Mount Clemens
"someone didn't visit Chris, Arnold has visited Clinton.",someone has visited Clinton,[MASK] has visited Clinton,someone,Arnold,"Chris, Clinton",1,"Arnold, Chris",Clinton
"Harvey didn't visit Hoquiam, everyone has visited Leo.",someone didn't visit Hoquiam,[MASK] didn't visit Hoquiam,someone,Harvey,"Hoquiam, Leo",0,"Harvey, Leo",Hoquiam
"Kurt has visited Timothy, everyone has visited Sherman.",someone has visited Timothy,[MASK] has visited Timothy,someone,Kurt,"Timothy, Sherman",0,"Kurt, Timothy",Sherman
"Howard didn't visit Jimmie, someone didn't visit Winnetka.",someone didn't visit Jimmie,[MASK] didn't visit Jimmie,someone,Howard,"Jimmie, Winnetka",0,"Howard, Jimmie",Winnetka
"everyon has visited Warren, someone has visited Lawrence.",it's false that someone didn't visit Warren,it's false that [MASK] didn't visit Warren,someone,everyon,"Warren, Lawrence",0,"everyon, Warren",Lawrence
"Marcus has visited Herman, Isaac didn't visit Grand Rapids.",someone didn't visit Grand Rapids,[MASK] didn't visit Grand Rapids,someone,"Marcus, Isaac","Herman, Grand Rapids",1,"Marcus, Isaac, Herman",Grand Rapids
"someone has visited South Saint Paul, Jonatha didn't visit Sam.",it's false that everyone has visited Sam,it's false that [MASK] has visited Sam,everyone,Jonatha,"South Saint Paul, Sam",1,"Jonatha, Sam",South Saint Paul
"someone didn't visit Craig, Eugene didn't visit Boone.",it's false that everyone has visited Boone,it's false that [MASK] has visited Boone,everyone,Eugene,"Craig, Boone",1,"Eugene, Craig",Boone
"Mario didn't visit Roberto, someone didn't visit Leonard.",it's false that everyone has visited Roberto,it's false that [MASK] has visited Roberto,everyone,Mario,"Roberto, Leonard",0,"Mario, Roberto, Leonard",
"someone has visited Fremont, Wade didn't visit Gerald.",it's false that everyone has visited Gerald,it's false that [MASK] has visited Gerald,everyone,Wade,"Fremont, Gerald",1,"Wade, Gerald",Fremont
"Chester didn't visit Randall, John has visited Cody.",it's false that everyone has visited Randall,it's false that [MASK] has visited Randall,everyone,"Chester, John","Randall, Cody",0,"Chester, John, Cody, Randall",
"someone has visited Martinez, Bill didn't visit Samuel.",it's false that everyone has visited Samuel,it's false that [MASK] has visited Samuel,everyone,Bill,"Martinez, Samuel",1,"Bill, Samuel",Martinez
"everyone didn't visit Bill, Alfredo didn't visit Roy.",it's false that everyone has visited Roy,it's false that [MASK] has visited Roy,everyone,Alfredo,"Bill, Roy",1,"Alfredo, Bill, Roy",
"everyone has visited Stanley, everyone didn't visit Wayne.",it's false that someone didn't visit Stanley,it's false that [MASK] didn't visit Stanley,someone,,"Stanley, Wayne",0,"Stanley, Wayne",
"Cody has visited Durham, Rodney has visited Barbourville.",someone has visited Durham,[MASK] has visited Durham,someone,"Cody, Rodney","Durham, Barbourville",0,"Cody, Rodney","Barbourville, Durham"
"Clayton has visited Columbia, Jordan didn't visit Toledo.",it's false that everyone has visited Toledo,it's false that [MASK] has visited Toledo,everyone,"Clayton, Jordan","Columbia, Toledo",1,"Clayton, Jordan","Toledo, Columbia"
"Kyle didn't visit Hugo, someone has visited Brett.",it's false that everyone has visited Hugo,it's false that [MASK] has visited Hugo,everyone,Kyle,"Hugo, Brett",0,"Kyle, Brett",Hugo
"Eugene didn't visit Wood River, Darryl didn't visit Ray.",it's false that everyone has visited Ray,it's false that [MASK] has visited Ray,everyone,"Eugene, Darryl","Wood River, Ray",1,"Eugene, Darryl, Ray",Wood River
"Nelson didn't visit Freeport, everyone has visited Alex.",it's false that everyone has visited Freeport,it's false that [MASK] has visited Freeport,everyone,Nelson,"Freeport, Alex",0,"Nelson, Alex",Freeport
"Micheal has visited Jonathan, someone didn't visit Clayton.",someone has visited Jonathan,[MASK] has visited Jonathan,someone,Micheal,"Jonathan, Clayton",0,"Micheal, Jonathan, Clayton",
"Lance has visited McAlester, Lee didn't visit Keith.",it's false that everyone has visited Keith,it's false that [MASK] has visited Keith,everyone,"Lance, Lee","McAlester, Keith",1,"Lance, Lee, Keith",McAlester
"someone has visited Wenatchee, everyon has visited Americus.",it's false that someone didn't visit Americus,it's false that [MASK] didn't visit Americus,someone,everyon,"Wenatchee, Americus",1,everyon,"Americus, Wenatchee"
"Tom didn't visit Saint Paul, Angel didn't visit Wallace.",it's false that everyone has visited Wallace,it's false that [MASK] has visited Wallace,everyone,"Tom, Angel","Saint Paul, Wallace",1,"Tom, Angel, Wallace",Saint Paul
"someone didn't visit Monticello, everyon has visited Felix.",it's false that someone didn't visit Felix,it's false that [MASK] didn't visit Felix,someone,everyon,"Monticello, Felix",1,"everyon, Felix",Monticello
"Dale has visited Victor, Marshall didn't visit San Mateo.",it's false that everyone has visited San Mateo,it's false that [MASK] has visited San Mateo,everyone,"Dale, Marshall","Victor, San Mateo",1,"Dale, Marshall, Victor",San Mateo
"Elmer didn't visit Daniel, everyone didn't visit Park Forest.",it's false that everyone has visited Daniel,it's false that [MASK] has visited Daniel,everyone,Elmer,"Daniel, Park Forest",0,"Elmer, Daniel",Park Forest
"Randall didn't visit Henry, Christop didn't visit Ohio.",it's false that everyone has visited Ohio,it's false that [MASK] has visited Ohio,everyone,"Randall, Christop","Henry, Ohio",1,"Randall, Christop, Henry",Ohio
"Marvin has visited Columbia, Larry didn't visit Sam.",someone has visited Columbia,[MASK] has visited Columbia,someone,"Marvin, Larry","Columbia, Sam",0,"Marvin, Larry, Sam",Columbia
"someone didn't visit Lawrence, Clayton didn't visit Lansing.",it's false that everyone has visited Lansing,it's false that [MASK] has visited Lansing,everyone,Clayton,"Lawrence, Lansing",1,"Clayton, Lawrence",Lansing
"Anthony didn't visit James, Danny didn't visit Ashland.",it's false that everyone has visited James,it's false that [MASK] has visited James,everyone,"Anthony, Danny","James, Ashland",0,"Anthony, Danny, James",Ashland
"someone has visited Randy, everyon has visited Cambridge.",it's false that someone didn't visit Cambridge,it's false that [MASK] didn't visit Cambridge,someone,everyon,"Randy, Cambridge",1,"everyon, Randy",Cambridge
"Eugene didn't visit Evanston, Glenn has visited Bobby.",it's false that everyone has visited Evanston,it's false that [MASK] has visited Evanston,everyone,"Eugene, Glenn","Evanston, Bobby",0,"Eugene, Glenn, Bobby",Evanston
"Harry didn't visit Midwest City, everyone has visited Tim.",it's false that everyone has visited Midwest City,it's false that [MASK] has visited Midwest City,everyone,Harry,"Midwest City, Tim",0,"Harry, Tim",Midwest City
"Raymond has visited Calvin, someone didn't visit Leominster.",someone has visited Calvin,[MASK] has visited Calvin,someone,Raymond,"Calvin, Leominster",0,"Raymond, Calvin",Leominster
"everyone has visited Fort Pierce, everyone didn't visit Leon.",it's false that someone didn't visit Fort Pierce,it's false that [MASK] didn't visit Fort Pierce,someone,,"Fort Pierce, Leon",0,Leon,Fort Pierce
"Bob has visited Mark, Don didn't visit Nacogdoches.",someone has visited Mark,[MASK] has visited Mark,someone,"Bob, Don","Mark, Nacogdoches",0,"Bob, Don, Mark",Nacogdoches
"everyone didn't visit Francisco, everyone has visited Holdenville.",it's false that someone didn't visit Holdenville,it's false that [MASK] didn't visit Holdenville,someone,,"Francisco, Holdenville",1,Francisco,Holdenville
"someone has visited McAllen, everyon has visited Richmond.",it's false that someone didn't visit Richmond,it's false that [MASK] didn't visit Richmond,someone,everyon,"McAllen, Richmond",1,everyon,"McAllen, Richmond"
"Jason didn't visit Marc, everyone has visited Frederick.",it's false that someone didn't visit Frederick,it's false that [MASK] didn't visit Frederick,someone,Jason,"Marc, Frederick",1,"Jason, Marc, Frederick",
"Richard didn't visit Dan, someone didn't visit Bakersfield.",it's false that everyone has visited Dan,it's false that [MASK] has visited Dan,everyone,Richard,"Dan, Bakersfield",0,"Richard, Dan",Bakersfield
"everyone has visited Denison, Cody has visited Ludlow.",it's false that someone didn't visit Denison,it's false that [MASK] didn't visit Denison,someone,Cody,"Denison, Ludlow",0,Cody,"Ludlow, Denison"
"everyone has visited Excelsior Springs, Leo didn't visit Lee.",someone didn't visit Lee,[MASK] didn't visit Lee,someone,Leo,"Excelsior Springs, Lee",1,"Leo, Lee",Excelsior Springs
"someone has visited Salt Lake City, everyone has visited Corey.",it's false that someone didn't visit Corey,it's false that [MASK] didn't visit Corey,someone,,"Salt Lake City, Corey",1,Corey,Salt Lake City
"Leslie didn't visit Timothy, Fred didn't visit Peru.",it's false that everyone has visited Timothy,it's false that [MASK] has visited Timothy,everyone,"Leslie, Fred","Timothy, Peru",0,"Leslie, Fred, Timothy",Peru
"Christop has visited Woburn, Jerry has visited Jamie.",someone has visited Woburn,[MASK] has visited Woburn,someone,"Christop, Jerry","Woburn, Jamie",0,"Christop, Jerry, Jamie",Woburn
"Alex didn't visit La Habra, everyone has visited Alan.",someone didn't visit La Habra,[MASK] didn't visit La Habra,someone,Alex,"La Habra, Alan",0,"Alex, Alan",La Habra
"Thomas didn't visit Pine Bluff, Franklin didn't visit Huntsville.",it's false that everyone has visited Huntsville,it's false that [MASK] has visited Huntsville,everyone,"Thomas, Franklin","Pine Bluff, Huntsville",1,"Thomas, Franklin","Huntsville, Pine Bluff"
"Armando didn't visit Palo Alto, Claude didn't visit Howard.",it's false that everyone has visited Palo Alto,it's false that [MASK] has visited Palo Alto,everyone,"Armando, Claude","Palo Alto, Howard",0,"Armando, Claude, Howard",Palo Alto
"Morris didn't visit Steve, Jay didn't visit Bedford.",it's false that everyone has visited Bedford,it's false that [MASK] has visited Bedford,everyone,"Morris, Jay","Steve, Bedford",1,"Morris, Jay, Steve",Bedford
"everyone didn't visit Douglas, Clifford didn't visit Gilbert.",it's false that everyone has visited Gilbert,it's false that [MASK] has visited Gilbert,everyone,Clifford,"Douglas, Gilbert",1,"Clifford, Gilbert, Douglas",
"Kirk didn't visit Sandwich, Shawn didn't visit Craig.",it's false that everyone has visited Craig,it's false that [MASK] has visited Craig,everyone,"Kirk, Shawn","Sandwich, Craig",1,"Kirk, Shawn, Craig",Sandwich
"Jared didn't visit Ray, someone didn't visit Beaumont.",it's false that everyone has visited Ray,it's false that [MASK] has visited Ray,everyone,Jared,"Ray, Beaumont",0,"Jared, Ray",Beaumont
"Gilbert has visited Paterson, someone has visited Hopkinsville.",someone has visited Paterson,[MASK] has visited Paterson,someone,Gilbert,"Paterson, Hopkinsville",0,Gilbert,"Hopkinsville, Paterson"
"Johnnie has visited Tyler, everyone has visited Old Saybrook.",someone has visited Tyler,[MASK] has visited Tyler,someone,Johnnie,"Tyler, Old Saybrook",0,"Johnnie, Tyler",Old Saybrook
"everyone has visited Stephen, everyone has visited Anthony.",it's false that someone didn't visit Stephen,it's false that [MASK] didn't visit Stephen,someone,,"Stephen, Anthony",0,"Anthony, Stephen",
"Chad didn't visit Bartow, someone has visited Francisco.",it's false that everyone has visited Bartow,it's false that [MASK] has visited Bartow,everyone,Chad,"Bartow, Francisco",0,"Chad, Francisco",Bartow
"everyone has visited Billy, Kenneth didn't visit Jesus.",it's false that someone didn't visit Billy,it's false that [MASK] didn't visit Billy,someone,Kenneth,"Billy, Jesus",0,"Kenneth, Billy, Jesus",
"everyone has visited Cody, Nathaniel didn't visit Spanish Fork.",it's false that someone didn't visit Cody,it's false that [MASK] didn't visit Cody,someone,Nathaniel,"Cody, Spanish Fork",0,"Nathaniel, Cody",Spanish Fork
"everyone didn't visit Gary, Aaron didn't visit Greenfield.",it's false that everyone has visited Greenfield,it's false that [MASK] has visited Greenfield,everyone,Aaron,"Gary, Greenfield",1,"Aaron, Gary",Greenfield
"Travis has visited Inglewood, everyone has visited Rochester.",it's false that someone didn't visit Rochester,it's false that [MASK] didn't visit Rochester,someone,Travis,"Inglewood, Rochester",1,Travis,"Rochester, Inglewood"
"Roland has visited Oxnard, George has visited Randy.",someone has visited Randy,[MASK] has visited Randy,someone,"Roland, George","Oxnard, Randy",1,"Roland, George, Randy",Oxnard
"everyone has visited Kinston, everyone didn't visit Hector.",it's false that someone didn't visit Kinston,it's false that [MASK] didn't visit Kinston,someone,,"Kinston, Hector",0,Hector,Kinston
"Richard didn't visit Joe, Felix didn't visit Edinburg.",someone didn't visit Joe,[MASK] didn't visit Joe,someone,"Richard, Felix","Joe, Edinburg",0,"Richard, Felix, Joe",Edinburg
"Oscar didn't visit Marshall, someone has visited Edgar.",it's false that everyone has visited Marshall,it's false that [MASK] has visited Marshall,everyone,Oscar,"Marshall, Edgar",0,"Oscar, Edgar",Marshall
"Julio has visited Robert, Warren didn't visit Mansfield.",someone didn't visit Mansfield,[MASK] didn't visit Mansfield,someone,"Julio, Warren","Robert, Mansfield",1,"Julio, Warren, Robert",Mansfield
"David didn't visit Kapaa, everyone didn't visit Ashtabula.",it's false that everyone has visited Kapaa,it's false that [MASK] has visited Kapaa,everyone,David,"Kapaa, Ashtabula",0,David,"Kapaa, Ashtabula"
"someone didn't visit Beaverton, Martin didn't visit Hugh.",it's false that everyone has visited Hugh,it's false that [MASK] has visited Hugh,everyone,Martin,"Beaverton, Hugh",1,"Martin, Hugh",Beaverton
"Jimmie has visited Kettering, Jeffery didn't visit De Land.",it's false that everyone has visited De Land,it's false that [MASK] has visited De Land,everyone,"Jimmie, Jeffery","Kettering, De Land",1,"Jimmie, Jeffery","Kettering, De Land"
"Gary didn't visit Truro, someone didn't visit Randall.",it's false that everyone has visited Truro,it's false that [MASK] has visited Truro,everyone,Gary,"Truro, Randall",0,"Gary, Randall",Truro
"everyone has visited Nelson, someone didn't visit Martin.",it's false that someone didn't visit Nelson,it's false that [MASK] didn't visit Nelson,someone,,"Nelson, Martin",0,"Nelson, Martin",
"everyone has visited Vernon, Albert has visited Lakewood.",someone has visited Lakewood,[MASK] has visited Lakewood,someone,Albert,"Vernon, Lakewood",1,"Albert, Vernon",Lakewood
"Larry didn't visit Juan, Cory didn't visit Hallandale Beach.",it's false that everyone has visited Juan,it's false that [MASK] has visited Juan,everyone,"Larry, Cory","Juan, Hallandale Beach",0,"Larry, Cory, Juan",Hallandale Beach
"Ricky didn't visit Alva, Earl has visited Richard.",it's false that everyone has visited Alva,it's false that [MASK] has visited Alva,everyone,"Ricky, Earl","Alva, Richard",0,"Ricky, Earl, Richard",Alva
"Reginald didn't visit Howard, Brett didn't visit Darryl.",it's false that everyone has visited Howard,it's false that [MASK] has visited Howard,everyone,"Reginald, Brett","Howard, Darryl",0,"Reginald, Brett, Darryl, Howard",
"Elmer didn't visit Derek, everyon has visited Oyster Bay.",it's false that someone didn't visit Oyster Bay,it's false that [MASK] didn't visit Oyster Bay,someone,"Elmer, everyon","Derek, Oyster Bay",1,"Elmer, everyon, Derek",Oyster Bay
"Sergio didn't visit Wickford, everyone didn't visit Tim.",someone didn't visit Wickford,[MASK] didn't visit Wickford,someone,Sergio,"Wickford, Tim",0,"Sergio, Tim",Wickford
"Francis didn't visit Rockford, someone didn't visit Carlos.",it's false that everyone has visited Rockford,it's false that [MASK] has visited Rockford,everyone,Francis,"Rockford, Carlos",0,"Francis, Carlos",Rockford
"Zachary didn't visit Virginia, someone has visited Hickory.",it's false that everyone has visited Virginia,it's false that [MASK] has visited Virginia,everyone,Zachary,"Virginia, Hickory",0,Zachary,"Hickory, Virginia"
"Keith has visited New Paltz, everyone didn't visit Bayonne.",someone has visited New Paltz,[MASK] has visited New Paltz,someone,Keith,"New Paltz, Bayonne",0,Keith,"Bayonne, New Paltz"
"Arnold didn't visit Billy, Jeffrey has visited Glassboro.",it's false that everyone has visited Billy,it's false that [MASK] has visited Billy,everyone,"Arnold, Jeffrey","Billy, Glassboro",0,"Arnold, Jeffrey, Billy",Glassboro
"Wayne didn't visit Mike, Seth has visited Norfolk.",it's false that everyone has visited Mike,it's false that [MASK] has visited Mike,everyone,"Wayne, Seth","Mike, Norfolk",0,"Wayne, Seth, Mike",Norfolk
"Ted didn't visit Hutchinson, Jimmie has visited George.",someone has visited George,[MASK] has visited George,someone,"Ted, Jimmie","Hutchinson, George",1,"Ted, Jimmie, George",Hutchinson
"Ross has visited Shawnee, everyon has visited Oswego.",it's false that someone didn't visit Oswego,it's false that [MASK] didn't visit Oswego,someone,"Ross, everyon","Shawnee, Oswego",1,"Ross, everyon","Oswego, Shawnee"
"everyone has visited Marshall, someone didn't visit West Covina.",it's false that someone didn't visit Marshall,it's false that [MASK] didn't visit Marshall,someone,,"Marshall, West Covina",0,Marshall,West Covina
"Glenn has visited Mike, Tyler didn't visit Ross.",it's false that everyone has visited Ross,it's false that [MASK] has visited Ross,everyone,"Glenn, Tyler","Mike, Ross",1,"Glenn, Tyler, Ross, Mike",
"Leonard didn't visit Dwayne, everyone didn't visit Edwin.",it's false that everyone has visited Dwayne,it's false that [MASK] has visited Dwayne,everyone,Leonard,"Dwayne, Edwin",0,"Leonard, Edwin, Dwayne",
"Leon didn't visit Miguel, Dennis didn't visit East Saint Louis.",it's false that everyone has visited East Saint Louis,it's false that [MASK] has visited East Saint Louis,everyone,"Leon, Dennis","Miguel, East Saint Louis",1,"Leon, Dennis, Miguel",East Saint Louis
"everyone has visited Kirk, everyone has visited Buffalo.",it's false that someone didn't visit Kirk,it's false that [MASK] didn't visit Kirk,someone,,"Kirk, Buffalo",0,Kirk,Buffalo
"Chester didn't visit Summersville, Travis didn't visit Tyrone.",it's false that everyone has visited Summersville,it's false that [MASK] has visited Summersville,everyone,"Chester, Travis","Summersville, Tyrone",0,"Chester, Travis, Tyrone",Summersville
"everyone has visited Christian, someone didn't visit Smyrna.",it's false that someone didn't visit Christian,it's false that [MASK] didn't visit Christian,someone,,"Christian, Smyrna",0,Christian,Smyrna
"Clifford didn't visit Roger, Allan has visited Kokomo.",it's false that everyone has visited Roger,it's false that [MASK] has visited Roger,everyone,"Clifford, Allan","Roger, Kokomo",0,"Clifford, Allan, Roger",Kokomo
"Charlie didn't visit Julian, Alex has visited Indio.",someone has visited Indio,[MASK] has visited Indio,someone,"Charlie, Alex","Julian, Indio",1,"Charlie, Alex, Julian",Indio
"Derrick didn't visit Roger, everyone has visited Ralph.",it's false that someone didn't visit Ralph,it's false that [MASK] didn't visit Ralph,someone,Derrick,"Roger, Ralph",1,"Derrick, Ralph, Roger",
"Luis didn't visit Englewood, Erik didn't visit White Springs.",someone didn't visit Englewood,[MASK] didn't visit Englewood,someone,"Luis, Erik","Englewood, White Springs",0,"Luis, Erik","White Springs, Englewood"
"someone has visited Jay, Joseph didn't visit Peter.",someone didn't visit Peter,[MASK] didn't visit Peter,someone,Joseph,"Jay, Peter",1,"Joseph, Peter, Jay",
"someone has visited Erik, everyon has visited Darrell.",it's false that someone didn't visit Darrell,it's false that [MASK] didn't visit Darrell,someone,everyon,"Erik, Darrell",1,"everyon, Darrell, Erik",
"Marcus didn't visit Shaker Heights, Ted has visited Virgil.",it's false that everyone has visited Shaker Heights,it's false that [MASK] has visited Shaker Heights,everyone,"Marcus, Ted","Shaker Heights, Virgil",0,"Marcus, Ted, Virgil",Shaker Heights
"someone has visited Beaufort, Sean didn't visit Terrance.",someone didn't visit Terrance,[MASK] didn't visit Terrance,someone,Sean,"Beaufort, Terrance",1,"Sean, Terrance",Beaufort
"Peter didn't visit Milledgeville, Javier didn't visit Mark.",it's false that everyone has visited Milledgeville,it's false that [MASK] has visited Milledgeville,everyone,"Peter, Javier","Milledgeville, Mark",0,"Peter, Javier, Mark",Milledgeville
"everyone didn't visit Hialeah, Terry has visited Tommy.",someone has visited Tommy,[MASK] has visited Tommy,someone,Terry,"Hialeah, Tommy",1,"Terry, Tommy",Hialeah
"Mitchell didn't visit Lewis, everyone didn't visit Frederick.",someone didn't visit Lewis,[MASK] didn't visit Lewis,someone,Mitchell,"Lewis, Frederick",0,"Mitchell, Lewis, Frederick",
"someone has visited San Antonio, Robert didn't visit Scott.",it's false that everyone has visited Scott,it's false that [MASK] has visited Scott,everyone,Robert,"San Antonio, Scott",1,"Robert, Scott",San Antonio
"Dwight didn't visit Dwayne, Bill has visited Marlborough.",it's false that everyone has visited Dwayne,it's false that [MASK] has visited Dwayne,everyone,"Dwight, Bill","Dwayne, Marlborough",0,"Dwight, Bill, Dwayne",Marlborough
"Bob didn't visit Warren, Dwayne didn't visit Adam.",it's false that everyone has visited Warren,it's false that [MASK] has visited Warren,everyone,"Bob, Dwayne","Warren, Adam",0,"Bob, Dwayne, Adam, Warren",
"Steven didn't visit Jack, Gerald has visited Hyannis.",it's false that everyone has visited Jack,it's false that [MASK] has visited Jack,everyone,"Steven, Gerald","Jack, Hyannis",0,"Steven, Gerald, Jack",Hyannis
"someone has visited Findlay, everyon has visited Michael.",it's false that someone didn't visit Michael,it's false that [MASK] didn't visit Michael,someone,everyon,"Findlay, Michael",1,"everyon, Michael",Findlay
"Leonard has visited Middletown, Hector didn't visit Troy.",it's false that everyone has visited Troy,it's false that [MASK] has visited Troy,everyone,"Leonard, Hector","Middletown, Troy",1,"Leonard, Hector, Troy",Middletown
"someone didn't visit Marion, Nicholas didn't visit Morganton.",it's false that everyone has visited Morganton,it's false that [MASK] has visited Morganton,everyone,Nicholas,"Marion, Morganton",1,"Nicholas, Marion",Morganton
"everyone has visited Delaware, someone didn't visit Julian.",it's false that someone didn't visit Delaware,it's false that [MASK] didn't visit Delaware,someone,,"Delaware, Julian",0,Julian,Delaware
"Byron didn't visit Sean, Scott didn't visit Eastham.",it's false that everyone has visited Sean,it's false that [MASK] has visited Sean,everyone,"Byron, Scott","Sean, Eastham",0,"Byron, Scott, Sean",Eastham
"Willard didn't visit Palm Bay, Dale didn't visit Brian.",it's false that everyone has visited Brian,it's false that [MASK] has visited Brian,everyone,"Willard, Dale","Palm Bay, Brian",1,"Willard, Dale, Brian",Palm Bay
"Hector didn't visit Neil, Cory has visited Gadsden.",someone has visited Gadsden,[MASK] has visited Gadsden,someone,"Hector, Cory","Neil, Gadsden",1,"Hector, Cory, Neil",Gadsden
"everyone has visited Augusta, everyone has visited Dean.",it's false that someone didn't visit Augusta,it's false that [MASK] didn't visit Augusta,someone,,"Augusta, Dean",0,Dean,Augusta
"Rodney didn't visit Lloyd, someone didn't visit Ken.",it's false that everyone has visited Lloyd,it's false that [MASK] has visited Lloyd,everyone,Rodney,"Lloyd, Ken",0,"Rodney, Lloyd, Ken",
"Alvin didn't visit Jaime, Clinton didn't visit Washington.",it's false that everyone has visited Washington,it's false that [MASK] has visited Washington,everyone,"Alvin, Clinton","Jaime, Washington",1,"Alvin, Clinton, Jaime",Washington
"Samuel has visited Max, everyone has visited Baraboo.",it's false that someone didn't visit Baraboo,it's false that [MASK] didn't visit Baraboo,someone,Samuel,"Max, Baraboo",1,"Samuel, Max",Baraboo
"someone has visited Shawn, everyon has visited Brent.",it's false that someone didn't visit Brent,it's false that [MASK] didn't visit Brent,someone,everyon,"Shawn, Brent",1,"everyon, Shawn, Brent",
"Bernard has visited Andre, Edwin didn't visit Lima.",it's false that everyone has visited Lima,it's false that [MASK] has visited Lima,everyone,"Bernard, Edwin","Andre, Lima",1,"Bernard, Edwin, Andre",Lima
"Ruben has visited Chapel Hill, Gerald didn't visit Essex.",it's false that everyone has visited Essex,it's false that [MASK] has visited Essex,everyone,"Ruben, Gerald","Chapel Hill, Essex",1,"Ruben, Gerald","Chapel Hill, Essex"
"Manuel didn't visit Kenosha, everyone has visited Rick.",it's false that someone didn't visit Rick,it's false that [MASK] didn't visit Rick,someone,Manuel,"Kenosha, Rick",1,"Manuel, Rick",Kenosha
"Gary didn't visit Wayne, Christian didn't visit Brainerd.",it's false that everyone has visited Wayne,it's false that [MASK] has visited Wayne,everyone,"Gary, Christian","Wayne, Brainerd",0,"Gary, Christian, Wayne",Brainerd
"everyon has visited Tom, someone has visited Harry.",it's false that someone didn't visit Tom,it's false that [MASK] didn't visit Tom,someone,everyon,"Tom, Harry",0,"everyon, Tom, Harry",
"someone didn't visit Clinton, everyon has visited Pedro.",it's false that someone didn't visit Pedro,it's false that [MASK] didn't visit Pedro,someone,everyon,"Clinton, Pedro",1,"everyon, Pedro",Clinton
"Jeffery didn't visit Butte, someone didn't visit Keith.",it's false that everyone has visited Butte,it's false that [MASK] has visited Butte,everyone,Jeffery,"Butte, Keith",0,"Jeffery, Keith",Butte
